Column1,Column2,Column3,Column4
New York Mets,2,Colorado Rockies,1
,,,
Toronto Blue Jays,0,@ Kansas City Royals,2
,,,
San Francisco Giants,1,Miami Marlins,0
,,,
Pittsburgh Pirates,6,Milwaukee Brewers,5
,,,
Tampa Bay Rays,4,New York Yankees,2
,,,
Detroit Tigers,2,Oakland Athletics,3
,,,
St. Louis Cardinals,0,Philadelphia Phillies,2
,,,
Los Angeles Dodgers,2,San Diego Padres,5
,,,
Houston Astros,2,Seattle Mariners,7
,,,
Baltimore Orioles,0,Texas Rangers,1
,,,
Arizona Diamondbacks,5,Washington Nationals,2
,,,
» 2021-04-18 Standings & Scores,,,
,,,
"Monday, April 19, 2021",,,
,,,
Texas Rangers,6,Los Angeles Angels,4
,,,
Chicago White Sox,4,Boston Red Sox,11
,,,
Tampa Bay Rays,4,Kansas City Royals,1
,,,
San Francisco Giants,2,Philadelphia Phillies,0
,,,
Milwaukee Brewers,3,San Diego Padres,1
,,,
Los Angeles Dodgers,3,Seattle Mariners,4
,,,
St. Louis Cardinals,12,Washington Nationals,5
,,,
» 2021-04-19 Standings & Scores,,,
,,,
"Tuesday, April 20, 2021",,,
,,,
Texas Rangers,2,Los Angeles Angels,6
,,,
Toronto Blue Jays,2,@ Boston Red Sox,4
,,,
New York Mets,1,Chicago Cubs,3
,,,
Arizona Diamondbacks,5,Cincinnati Reds,4
,,,
Chicago White Sox,8,Cleveland Indians,5
,,,
Houston Astros,2,Colorado Rockies,6
,,,
Tampa Bay Rays,14,Kansas City Royals,7
,,,
Baltimore Orioles,7,Miami Marlins,5
,,,
Atlanta Braves,1,New York Yankees,3
,,,
Minnesota Twins,0,Oakland Athletics,7
,,,
Minnesota Twins,0,Oakland Athletics,1
,,,
San Francisco Giants,10,Philadelphia Phillies,7
,,,
Milwaukee Brewers,6,San Diego Padres,0
,,,
Los Angeles Dodgers,1,Seattle Mariners,0
,,,
St. Louis Cardinals,2,Washington Nationals,3
,,,
» 2021-04-20 Standings & Scores,,,
,,,
"Wednesday, April 21, 2021",,,
,,,
Texas Rangers,7,Los Angeles Angels,4
,,,
Toronto Blue Jays,6,@ Boston Red Sox,3
,,,
New York Mets,4,Chicago Cubs,16
,,,
Arizona Diamondbacks,8,Cincinnati Reds,5
,,,
Houston Astros,3,Colorado Rockies,6
,,,
Pittsburgh Pirates,3,Detroit Tigers,2
,,,
Pittsburgh Pirates,2,Detroit Tigers,5
,,,
Tampa Bay Rays,8,Kansas City Royals,9
,,,
Baltimore Orioles,0,Miami Marlins,3
,,,
Atlanta Braves,4,New York Yankees,1
,,,
Minnesota Twins,12,Oakland Athletics,13
,,,
San Francisco Giants,5,Philadelphia Phillies,6
,,,
Milwaukee Brewers,4,San Diego Padres,2
,,,
St. Louis Cardinals,0,Washington Nationals,1
,,,
» 2021-04-21 Standings & Scores,,,
,,,
"Thursday, April 22, 2021",,,
,,,
Seattle Mariners,7,Boston Red Sox,3
,,,
New York Mets,3,Chicago Cubs,4
,,,
Arizona Diamondbacks,14,Cincinnati Reds,11
,,,
New York Yankees,6,Cleveland Indians,3
,,,
Pittsburgh Pirates,4,Detroit Tigers,2
,,,
Los Angeles Angels,2,Houston Astros,8
,,,
San Diego Padres,3,Los Angeles Dodgers,2
,,,
Miami Marlins,0,San Francisco Giants,3
,,,
» 2021-04-22 Standings & Scores,,,
,,,
"Friday, April 23, 2021",,,
,,,
Arizona Diamondbacks,4,Atlanta Braves,5
,,,
Oakland Athletics,3,Baltimore Orioles,1
,,,
Seattle Mariners,5,Boston Red Sox,6
,,,
Texas Rangers,7,Chicago White Sox,9
,,,
Milwaukee Brewers,2,Chicago Cubs,15
,,,
New York Yankees,5,Cleveland Indians,3
,,,
Philadelphia Phillies,4,Colorado Rockies,5
,,,
Kansas City Royals,6,Detroit Tigers,2
,,,
Los Angeles Angels,4,Houston Astros,5
,,,
San Diego Padres,6,Los Angeles Dodgers,1
,,,
Pittsburgh Pirates,0,Minnesota Twins,2
,,,
Washington Nationals,0,New York Mets,6
,,,
Miami Marlins,3,San Francisco Giants,5
,,,
Cincinnati Reds,4,St. Louis Cardinals,5
,,,
Toronto Blue Jays,5,@ Tampa Bay Rays,3
,,,
» 2021-04-23 Standings & Scores,,,
,,,
"Saturday, April 24, 2021",,,
,,,
Oakland Athletics,7,Baltimore Orioles,2
,,,
Seattle Mariners,8,Boston Red Sox,2
,,,
Texas Rangers,1,Chicago White Sox,2
,,,
Milwaukee Brewers,4,Chicago Cubs,3
,,,
New York Yankees,2,Cleveland Indians,1
,,,
Philadelphia Phillies,7,Colorado Rockies,5
,,,
Kansas City Royals,2,Detroit Tigers,1
,,,
Los Angeles Angels,2,Houston Astros,16
,,,
San Diego Padres,4,Los Angeles Dodgers,5
,,,
Pittsburgh Pirates,6,Minnesota Twins,2
,,,
Washington Nationals,7,New York Mets,1
,,,
Miami Marlins,5,San Francisco Giants,2
,,,
Cincinnati Reds,0,St. Louis Cardinals,2
,,,
Toronto Blue Jays,3,@ Tampa Bay Rays,5
,,,
» 2021-04-24 Standings & Scores,,,
,,,
"Sunday, April 25, 2021",,,
,,,
Arizona Diamondbacks,5,Atlanta Braves,0
,,,
Arizona Diamondbacks,7,Atlanta Braves,0
,,,
Oakland Athletics,1,Baltimore Orioles,8
,,,
Seattle Mariners,3,Boston Red Sox,5
,,,
Texas Rangers,4,Chicago White Sox,8
,,,
Milwaukee Brewers,6,Chicago Cubs,0
,,,
New York Yankees,3,Cleveland Indians,7
,,,
Philadelphia Phillies,2,Colorado Rockies,12
,,,
Kansas City Royals,4,Detroit Tigers,0
,,,
Los Angeles Angels,4,Houston Astros,2
,,,
San Diego Padres,8,Los Angeles Dodgers,7
,,,
Pittsburgh Pirates,6,Minnesota Twins,2
,,,
Washington Nationals,0,New York Mets,4
,,,
Miami Marlins,3,San Francisco Giants,4
,,,
Cincinnati Reds,2,St. Louis Cardinals,5
,,,
Toronto Blue Jays,1,@ Tampa Bay Rays,0
,,,
» 2021-04-25 Standings & Scores,,,
,,,
"Monday, April 26, 2021",,,
,,,
Chicago Cubs,7,Atlanta Braves,8
,,,
New York Yankees,2,Baltimore Orioles,4
,,,
Minnesota Twins,3,Cleveland Indians,5
,,,
Kansas City Royals,3,Detroit Tigers,2
,,,
Seattle Mariners,2,Houston Astros,5
,,,
Cincinnati Reds,5,Los Angeles Dodgers,3
,,,
Miami Marlins,8,Milwaukee Brewers,0
,,,
Colorado Rockies,0,San Francisco Giants,12
,,,
Philadelphia Phillies,2,St. Louis Cardinals,1
,,,
Oakland Athletics,2,Tampa Bay Rays,1
,,,
Los Angeles Angels,9,Texas Rangers,4
,,,
» 2021-04-26 Standings & Scores,,,
,,,
"Tuesday, April 27, 2021",,,
,,,
San Diego Padres,1,Arizona Diamondbacks,5
,,,
Chicago Cubs,0,Atlanta Braves,5
,,,
New York Yankees,5,Baltimore Orioles,1
,,,
Detroit Tigers,5,Chicago White Sox,2
,,,
Minnesota Twins,4,Cleveland Indians,7
,,,
Seattle Mariners,0,Houston Astros,2
,,,
Cincinnati Reds,6,Los Angeles Dodgers,5
,,,
Miami Marlins,4,Milwaukee Brewers,5
,,,
Boston Red Sox,2,New York Mets,1
,,,
Kansas City Royals,1,Pittsburgh Pirates,2
,,,
Colorado Rockies,7,San Francisco Giants,5
,,,
Philadelphia Phillies,2,St. Louis Cardinals,5
,,,
Oakland Athletics,3,Tampa Bay Rays,4
,,,
Los Angeles Angels,1,Texas Rangers,6
,,,
Washington Nationals,5,Toronto Blue Jays,9
,,,
» 2021-04-27 Standings & Scores,,,
,,,
"Wednesday, April 28, 2021",,,
,,,
San Diego Padres,12,Arizona Diamondbacks,3
,,,
Chicago Cubs,0,Atlanta Braves,10
,,,
New York Yankees,7,Baltimore Orioles,0
,,,
Minnesota Twins,10,Cleveland Indians,2
,,,
Seattle Mariners,5,Houston Astros,7
,,,
Cincinnati Reds,0,Los Angeles Dodgers,8
,,,
Miami Marlins,6,Milwaukee Brewers,2
,,,
Boston Red Sox,1,New York Mets,0
,,,
Kansas City Royals,9,Pittsburgh Pirates,6
,,,
Colorado Rockies,3,San Francisco Giants,7
,,,
Philadelphia Phillies,5,St. Louis Cardinals,3
,,,
Oakland Athletics,0,Tampa Bay Rays,2
,,,
Los Angeles Angels,4,Texas Rangers,3
,,,
Washington Nationals,8,Toronto Blue Jays,2
,,,
» 2021-04-28 Standings & Scores,,,
,,,
"Thursday, April 29, 2021",,,
,,,
Colorado Rockies,3,Arizona Diamondbacks,5
,,,
Chicago Cubs,9,Atlanta Braves,3
,,,
New York Yankees,3,Baltimore Orioles,4
,,,
Detroit Tigers,1,Chicago White Sox,3
,,,
Detroit Tigers,0,Chicago White Sox,11
,,,
Seattle Mariners,1,Houston Astros,0
,,,
Los Angeles Dodgers,1,Milwaukee Brewers,2
,,,
Philadelphia Phillies,3,St. Louis Cardinals,4
,,,
Oakland Athletics,3,Tampa Bay Rays,2
,,,
Boston Red Sox,1,Texas Rangers,4
,,,
» 2021-04-29 Standings & Scores,,,
,,,
"Friday, April 30, 2021",,,
,,,
Colorado Rockies,2,Arizona Diamondbacks,7
,,,
Cleveland Indians,5,Chicago White Sox,3
,,,
Chicago Cubs,6,Cincinnati Reds,8
,,,
Los Angeles Dodgers,1,Milwaukee Brewers,3
,,,
Kansas City Royals,1,Minnesota Twins,9
,,,
Detroit Tigers,0,New York Yankees,10
,,,
Baltimore Orioles,3,Oakland Athletics,2
,,,
New York Mets,1,Philadelphia Phillies,2
,,,
St. Louis Cardinals,7,Pittsburgh Pirates,3
,,,
San Francisco Giants,2,San Diego Padres,3
,,,
Los Angeles Angels,4,Seattle Mariners,7
,,,
Houston Astros,9,Tampa Bay Rays,2
,,,
Boston Red Sox,6,Texas Rangers,1
,,,
Atlanta Braves,5,Toronto Blue Jays,13
,,,
Miami Marlins,1,Washington Nationals,2
,,,
» 2021-04-30 Standings & Scores,,,
,,,
"Saturday, May 1, 2021",,,
,,,
Colorado Rockies,14,Arizona Diamondbacks,6
,,,
Cleveland Indians,3,Chicago White Sox,7
,,,
Chicago Cubs,3,Cincinnati Reds,2
,,,
Los Angeles Dodgers,5,Milwaukee Brewers,6
,,,
Kansas City Royals,11,Minnesota Twins,3
,,,
Detroit Tigers,4,New York Yankees,6
,,,
Baltimore Orioles,8,Oakland Athletics,4
,,,
New York Mets,5,Philadelphia Phillies,4
,,,
St. Louis Cardinals,12,Pittsburgh Pirates,5
,,,
San Francisco Giants,2,San Diego Padres,6
,,,
Los Angeles Angels,10,Seattle Mariners,5
,,,
Houston Astros,3,Tampa Bay Rays,1
,,,
Boston Red Sox,6,Texas Rangers,8
,,,
Atlanta Braves,5,Toronto Blue Jays,6
,,,
Miami Marlins,2,Washington Nationals,7
,,,
» 2021-05-01 Standings & Scores,,,
,,,
"Sunday, May 2, 2021",,,
,,,
Colorado Rockies,4,Arizona Diamondbacks,8
,,,
Cleveland Indians,5,Chicago White Sox,0
,,,
Chicago Cubs,12,Cincinnati Reds,13
,,,
Los Angeles Dodgers,16,Milwaukee Brewers,4
,,,
Kansas City Royals,4,Minnesota Twins,13
,,,
Detroit Tigers,0,New York Yankees,2
,,,
Baltimore Orioles,5,Oakland Athletics,7
,,,
New York Mets,8,Philadelphia Phillies,7
,,,
St. Louis Cardinals,3,Pittsburgh Pirates,0
,,,
San Francisco Giants,7,San Diego Padres,1
,,,
Los Angeles Angels,0,Seattle Mariners,2
,,,
Houston Astros,4,Tampa Bay Rays,5
,,,
Boston Red Sox,3,Texas Rangers,5
,,,
Atlanta Braves,2,Toronto Blue Jays,7
,,,
Miami Marlins,1,Washington Nationals,3
,,,
» 2021-05-02 Standings & Scores,,,
,,,
"Monday, May 3, 2021",,,
,,,
Tampa Bay Rays,7,Los Angeles Angels,3
,,,
Cleveland Indians,8,Kansas City Royals,6
,,,
Texas Rangers,5,Minnesota Twins,6
