"Season","Team","G","PA","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","wRAA","wRC","RE24","REW","WAR","-WPA","+WPA","BsR","Off","Def","Z-Contact%","Contact%","O-Swing%"
"2019","MIL","2514","6309","250","769","744","101","25","10.0%","24.8%",".192",".296",".246",".329",".438",".324","98","20.3","814","1.37","0.38","24.7","-111.70","113.49","5.9","-14.8","64.6","84.1%","74.8%","30.6%"
"2013","TBR","2423","6242","165","700","670","73","38","9.4%","18.8%",".151",".295",".257",".329",".408",".324","107","48.8","733","23.65","2.74","28.2","-105.83","112.57","2.5","50.1","9.2","86.6%","80.0%","26.6%"
"2011","COL","2348","6275","163","735","697","118","42","8.8%","19.1%",".152",".300",".258",".329",".410",".324","88","34.0","739","-25.23","-2.97","11.7","-116.07","108.93","-1.8","-92.6","12.7","86.9%","79.7%","28.4%"
"2015","DET","2340","6159","151","689","660","83","51","7.4%","20.4%",".150",".322",".270",".328",".420",".324","103","51.8","744","-21.80","-2.28","17.1","-107.77","105.76","-27.6","-8.6","-31.6","86.8%","78.6%","32.4%"
"2009","ARI","2301","6269","173","720","686","102","40","9.1%","20.7%",".165",".299",".253",".324",".418",".324","89","-28.8","723","-41.89","-4.24","17.5","-116.59","108.57","13.1","-75.3","53.6","85.4%","77.7%","24.7%"
"2005","TOR","2281","6233","136","775","735","72","35","7.8%","15.3%",".142",".296",".265",".331",".407",".323","94","-13.7","733","0.09","-0.17","19.1","-117.12","110.71","12.3","-33.2","13.6","89.7%","82.2%","21.1%"
"2013","BAL","2246","6144","212","745","719","79","29","6.8%","18.3%",".171",".288",".260",".313",".431",".323","101","45.3","719","36.83","4.13","25.7","-106.59","113.97","13.8","16.4","22.7","87.2%","80.2%","31.7%"
"2021","ATL","2084","5279","211","690","663","55","17","9.4%","23.7%",".192",".283",".242",".321",".434",".323","100","39.0","677","77.67","7.98","19.9","-90.61","92.32","4.2","2.0","24.7","83.3%","75.1%","31.5%"
"2002","FLA","2319","6263","146","699","653","177","73","9.5%","18.0%",".142",".301",".261",".337",".403",".323","97","-17.9","734","-5.05","-0.11","19.1","-112.81","111.72","5.4","-14.7","1.7","85.3%","78.3%","18.6%"
"2012","ARI","2213","6150","165","734","710","93","51","8.8%","20.6%",".159",".307",".259",".328",".418",".323","97","34.1","736","25.21","2.36","21.7","-103.69","103.10","-5.6","-30.7","52.0","86.8%","79.0%","29.4%"
"2003","ANA","2286","6119","150","736","687","129","61","7.8%","13.7%",".144",".291",".268",".330",".413",".323","96","-25.1","725","-27.24","-2.75","20.2","-105.15","101.42","-4.9","-33.0","27.1","89.4%","81.9%","23.2%"
