"Season","Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"2002","MIL","6083","88","113","95","94","92","86","87","99","95","107","94","92","101","111"
"2006","PIT","6218","83","117","97","95","90","86","79","102","102","103","95","98","101","102"
"2014","ATL","6064","99","113","94","95","91","86","86","98","99","102","98","99","101","101"
"2008","OAK","6138","109","119","90","94","88","86","83","95","96","95","108","97","102","103"
"2015","PHI","6053","80","106","95","93","93","86","89","98","104","99","98","100","104","96"
"2000","MIN","6283","92","104","98","96","92","86","82","102","","","","","",""
"2005","SFG","6077","81","92","97","94","93","86","85","97","96","102","100","101","106","92"
"2009","PIT","6058","89","108","95","94","92","86","86","98","96","104","97","100","101","99"
"2007","CHW","6103","102","113","91","94","95","86","103","91","94","100","102","104","94","101"
"2021","ARI","5359","96","106","95","95","91","85","86","100","99","100","101","100","97","103"
"2017","PIT","6136","94","94","93","95","88","85","81","94","100","106","92","97","100","105"
"2002","KCR","6206","100","91","97","97","94","85","89","96","102","102","96","94","103","106"
"2013","CHW","6077","83","101","97","94","93","85","87","98","103","97","102","98","99","104"
"2013","HOU","6020","87","130","93","93","93","85","91","102","100","107","92","97","103","100"
"2003","MON","6116","95","100","96","96","93","85","88","97","96","110","90","93","106","104"
"2004","PIT","6115","75","107","97","94","92","85","84","100","94","111","90","100","102","98"
"2005","COL","6240","93","110","99","98","96","85","90","103","104","102","95","95","102","106"
"2007","KCR","6140","81","104","96","95","91","85","83","100","102","108","90","89","106","110"
"2018","SDP","6059","87","117","93","91","91","84","89","98","98","108","91","97","103","100"
"2016","SDP","6000","87","122","90","91","92","84","94","95","97","101","101","102","99","99"
"2010","PIT","5974","88","110","92","92","90","84","87","95","92","106","96","100","100","99"
"2006","CHC","6147","72","92","98","93","95","84","91","97","97","109","91","92","105","106"
"2002","PIT","6049","95","112","92","94","90","84","87","95","99","96","105","101","99","100"
"2015","ATL","6034","98","92","96","97","88","84","72","97","101","108","88","96","101","105"
"2019","KCR","6080","88","101","97","96","91","84","83","101","99","105","95","97","100","104"
"2009","CIN","6187","93","104","93","94","93","84","94","93","96","100","102","96","102","103"
"2021","TEX","5146","86","101","94","93","91","84","86","95","94","107","95","94","104","103"
"2003","CIN","6211","94","132","91","93","92","84","92","97","102","97","102","97","99","106"
"2008","WSN","6192","95","103","94","95","87","84","77","97","101","110","88","94","108","100"
"2000","TBD","6206","94","105","93","94","90","83","85","95","","","","","",""
"2018","MIA","6083","83","105","94","93","85","83","73","98","98","110","88","95","106","100"
"2014","ARI","6089","84","96","97","94","95","83","92","97","100","105","93","93","105","104"
"2000","PHI","6273","97","110","92","94","90","83","85","96","","","","","",""
"2014","CIN","5978","89","105","93","93","92","83","92","94","100","98","103","101","98","102"
"2009","SFG","6057","70","109","97","91","92","83","85","100","97","105","96","95","100","107"
"2018","DET","6029","86","102","97","94","91","83","83","100","106","100","97","100","97","104"
"2017","SFG","6137","85","93","95","93","87","83","75","96","94","106","96","94","107","101"
"2008","SFG","6145","81","99","98","95","90","83","76","101","91","111","91","93","105","104"
"2001","KCR","6176","79","88","100","95","95","82","88","98","","","","","",""
"2000","COL","6453","93","87","108","103","102","82","93","107","","","","","",""
"2000","MIL","6355","98","121","90","93","90","82","91","94","","","","","",""
"2012","HOU","6014","93","118","90","92","90","82","89","95","98","101","100","102","98","99"
"2002","COL","6165","86","104","103","99","100","82","95","105","106","106","89","95","104","104"
"2007","ARI","6101","99","111","92","94","95","82","100","93","93","97","106","102","99","97"
"2021","PIT","5195","93","99","95","94","87","82","75","98","103","105","93","93","105","104"
"2011","MIN","6020","90","97","96","95","88","82","75","98","95","110","91","94","104","103"
"2019","SFG","6170","87","106","93","91","88","82","82","97","105","100","98","97","102","103"
"2017","SDP","5954","86","120","89","90","90","82","91","94","94","97","107","103","97","99"
"2004","MIL","6195","96","130","92","94","89","82","83","101","101","103","95","98","99","104"
"2004","KCR","6153","88","105","96","95","92","82","85","98","93","105","98","100","100","100"
"2018","SFG","6113","82","111","94","92","88","82","79","100","101","103","95","95","100","107"
"2002","DET","5920","73","108","94","90","89","82","82","97","96","101","102","97","104","101"
"2014","SDP","5905","101","110","88","91","86","82","83","91","97","108","91","100","100","99"
"2021","COL","5266","88","99","100","97","99","81","98","101","96","105","96","92","102","111"
"2012","CHC","5967","91","108","92","92","91","81","90","94","103","102","96","99","101","101"
"2016","PHI","5992","82","112","92","91","90","81","88","96","96","105","96","97","105","98"
"2007","SFG","6213","97","89","93","94","89","81","81","92","92","107","96","98","105","97"
"2001","PIT","6027","87","107","92","92","89","80","85","94","","","","","",""
"2003","NYM","6007","90","107","92","92","87","80","79","95","95","106","96","99","96","106"
"2011","SEA","5972","90","119","90","90","85","80","77","96","96","104","98","94","101","109"
"2003","DET","6071","88","115","90","90","88","80","84","92","96","105","97","102","100","97"
"2019","MIA","6045","74","111","93","90","84","79","72","100","98","113","85","95","101","108"
"2010","HOU","6005","78","93","94","91","88","79","76","94","96","108","93","95","104","102"
"2010","SEA","5989","90","113","90","91","83","79","71","95","98","102","99","96","102","103"
"2001","MON","6026","89","104","94","94","90","79","83","97","","","","","",""
"2003","LAD","6036","75","101","91","89","85","78","77","92","96","106","95","99","97","105"
"2004","MON","6138","89","92","92","92","90","77","85","91","95","104","98","100","100","101"
"2020","TEX","2147","86","107","89","89","88","76","86","91","92","104","99","96","106","98"
"2019","DET","6039","76","116","95","91","88","76","79","103","108","98","98","96","103","102"
"2020","COL","2257","77","104","104","96","96","76","85","108","104","96","102","93","99","112"
"2013","MIA","6021","90","108","89","91","83","74","73","93","99","107","91","95","101","107"
"2004","ARI","6114","80","102","94","91","90","74","84","96","100","102","97","95","105","103"
"2020","PIT","2134","84","106","89","87","85","73","78","91","92","108","95","96","101","105"
