"Season","Team","Batting","Base Running","Fielding","Positional","Offense","Defense","League","Replacement","RAR","WAR","Dollars"
"2019","MIA","-165.2","-23.9","-8.3","34.7","-189.1","26.4","5.5","190.1","32.8","3.2","$25.5"
"2016","OAK","-78.3","-22.2","-61.3","-16.2","-100.5","-77.5","26.0","181.7","29.7","3.0","$24.3"
"2007","CHW","-110.0","-15.7","-39.8","-15.9","-125.7","-55.7","22.1","189.1","29.8","2.9","$16.3"
"2005","KCR","-97.8","6.3","-71.6","-15.7","-91.5","-87.3","19.7","185.8","26.7","2.7","$12.6"
"2020","COL","-69.2","10.8","13.3","-7.2","-58.4","6.1","5.9","73.5","27.1","2.6","$21.1"
"2010","SEA","-147.9","-1.0","-24.5","-16.0","-148.9","-40.5","33.4","177.4","21.4","2.2","$13.3"
"2009","KCR","-91.4","-18.9","-65.7","-16.3","-110.3","-82.0","28.3","185.8","21.8","2.2","$14.0"
"2018","BAL","-94.5","-9.6","-59.9","-15.2","-104.1","-75.1","18.4","180.5","19.8","2.0","$16.3"
"2013","HOU","-103.8","-8.9","-48.4","-16.0","-112.7","-64.4","23.1","172.0","18.0","1.9","$14.4"
"2010","PIT","-113.2","-5.8","-79.2","31.1","-119.0","-48.1","3.5","177.0","13.4","1.4","$8.3"
"2001","MON","-169.8","-2.2","-48.0","33.8","-172.0","-14.2","9.5","188.0","11.3","1.0",""
"2004","KCR","-143.6","-9.3","-32.9","-14.5","-152.8","-47.4","19.1","190.9","9.8","1.0","$4.0"
"2020","PIT","-74.5","-2.3","-2.2","-6.8","-76.8","-9.0","26.0","69.5","9.7","0.9","$7.5"
"2020","TEX","-62.4","3.0","-10.3","-7.5","-59.4","-17.8","5.6","69.9","-1.7","-0.2","($1.3)"
"2004","ARI","-204.5","-7.7","-33.7","36.0","-212.2","2.3","16.4","189.7","-3.7","-0.4","($1.5)"
"2002","DET","-134.1","-9.4","-53.5","-14.7","-143.5","-68.1","21.2","180.4","-10.1","-1.0","($4.0)"
"2003","DET","-155.8","-6.5","-43.9","-15.4","-162.3","-59.2","21.9","187.5","-12.1","-1.2","($5.1)"
"2019","DET","-185.0","-6.8","-36.9","-16.8","-191.8","-53.8","23.2","189.9","-32.4","-3.1","($25.2)"
