Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30,WHIP,oWHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Texas Rangers,30,48,.385,W 3,4.1,4.8,-0.7,0.3,-0.4,33-45,-3,11-10,7-9,10-18,2-11,20-21,10-27,7-4,7-12,16-35,14-13,19-32,11-16,5-5,8-12,9-21,1.352,1.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Toronto Blue Jays,40,36,.526,W 2,5.1,4.2,0.9,0.2,1.0,44-32,-4,17-18,4-6,6-10,13-2,16-17,24-19,2-4,6-10,32-26,8-10,20-26,20-10,7-3,10-10,17-13,1.258,1.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Washington Nationals,38,38,.500,W 2,3.9,4.1,-0.1,-0.1,-0.2,37-39,1,17-16,9-10,6-8,6-4,22-18,16-20,2-3,12-9,29-28,9-10,12-20,26-18,7-3,14-6,17-13,1.227,1.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#DIV/0!,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,HR,R,SB,BB%,K%,BABIP,OBP,wOBA,wRC+,BsR,Off,Def,WAR,wins,LossesL,W-L%,WHIP,off.whip,Tm,Lg,Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,#Bat,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,LOB,OPS+,Column1,,,,,,,,,,,,,,,,,,,,,,,,,,
ARI,72.0,395.0,27.0,0.1,0.2,0.306,0.319,0.307,88,2.7,-49.8,9.8,7.5,29.0,48.0,0.4,1.360,1.591,ARI,NL,1,2021,TOR,AL,43,38,0.531,28,5.21,81.0000,3070,277300.00%,422,738.0000,138,7,123,400.0000,39,1200.00%,250,668.0000,0.266,33.00%,0.454,0.7840,1259,6600.00%,22,7,16,9,524,112,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,221.0,701.0,64.0,0.1,0.2,0.284,0.317,0.323,100,3.2,2.3,-8.3,17.6,22.0,58.0,0.3,1.188,1.446,ATL,NL,2,2021,SFG,NL,52,30,0.634,47,4.94,82.0000,3103,272400.00%,405,662.0000,126,14,123,385.0000,35,900.00%,318,777.0000,0.243,32.70%,0.435,0.7620,1185,6600.00%,27,20,13,18,540,110,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAL,124.0,416.0,39.0,0.1,0.2,0.293,0.308,0.313,99,-1.7,-8.3,-31.9,8.6,30.0,48.0,0.4,1.295,1.436,BAL,AL,3,2021,MIN,AL,33,48,0.407,33,4.63,81.0000,3067,273900.00%,375,672.0000,140,10,116,348.0000,27,500.00%,266,698.0000,0.245,31.60%,0.431,0.7470,1180,6200.00%,30,5,24,9,546,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,173.0,605.0,30.0,0.1,0.2,0.310,0.330,0.339,112,0.5,65.0,-7.7,20.9,32.0,47.0,0.4,1.370,1.373,BOS,AL,4,2021,ATL,NL,40,42,0.488,45,4.66,82.0000,3045,267200.00%,382,631.0000,133,11,115,367.0000,39,1400.00%,296,768.0000,0.236,31.90%,0.423,0.7420,1131,4500.00%,38,17,22,19,536,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHC,80.0,304.0,30.0,0.1,0.3,0.287,0.303,0.298,85,-7.0,-60.3,31.0,6.2,39.0,38.0,0.5,1.146,1.508,CHC,NL,5,2021,LAA,AL,41,41,0.5,40,4.94,82.0000,3072,277700.00%,405,708.0000,150,9,113,385.0000,30,900.00%,233,707.0000,0.255,31.90%,0.438,0.7570,1215,6300.00%,34,18,10,18,504,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
