Year,Tm,Lg,Wtm,Ltm,tmW-L%,Outs,RC,RC/G,AIR,BAbip,BA,OBP,SLG,OPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd
2018,MIA,NL,63,98,0,4398,612,3.7,97,0.293,0.237,0.303,0.357,0.659,83,0.409,-127.7,-12.9,0.584,0.205,0.119,66.6
2018,MIN,AL,78,84,0,4320,733,4.5,100,0.298,0.250,0.318,0.405,0.723,96,0.491,-28.1,-2.9,0.670,0.256,0.155,73.3
2018,TOR,AL,73,89,0,4331,728,4.5,98,0.286,0.244,0.312,0.427,0.739,102,0.486,16.5,1.5,0.686,0.277,0.183,77.3
2018,ARI,NL,82,80,1,4395,716,4.4,106,0.286,0.235,0.310,0.397,0.707,86,0.480,-116.8,-11.8,0.664,0.275,0.163,109.1
2018,KCR,AL,58,104,0,4380,672,4.1,99,0.293,0.245,0.305,0.392,0.697,90,0.445,-81.2,-8.2,0.641,0.238,0.146,133.3
2018,ATL,NL,90,72,1,4376,800,4.9,103,0.302,0.257,0.324,0.417,0.742,98,0.533,-13.5,-1.6,0.700,0.262,0.161,118.9
2018,NYM,NL,77,85,0,4411,695,4.2,95,0.283,0.235,0.312,0.389,0.701,96,0.465,-22.2,-2.4,0.653,0.264,0.154,100.2
2018,BAL,AL,47,115,0,4392,650,4.0,98,0.286,0.239,0.298,0.391,0.689,89,0.429,-89.0,-8.9,0.625,0.239,0.152,113.2
2018,HOU,AL,103,59,1,4304,772,4.8,98,0.289,0.255,0.329,0.425,0.755,106,0.516,52.6,5.0,0.711,0.282,0.170,105.5
2018,LAA,AL,80,82,0,4328,751,4.6,98,0.278,0.242,0.313,0.413,0.726,99,0.501,-7.8,-1.1,0.686,0.277,0.171,125.7
2018,WSN,NL,82,80,1,4333,829,5.2,107,0.297,0.254,0.335,0.419,0.753,98,0.554,-15.7,-1.9,0.733,0.294,0.164,146.6
2018,OAK,AL,97,65,1,4379,806,4.9,97,0.294,0.252,0.325,0.439,0.764,110,0.528,84.8,8.2,0.719,0.288,0.187,60.6
2018,SFG,NL,73,89,0,4439,629,3.8,96,0.299,0.239,0.300,0.368,0.667,85,0.417,-107.8,-10.8,0.599,0.218,0.129,97.5
2018,BOS,AL,108,54,1,4330,905,5.6,103,0.309,0.268,0.339,0.454,0.792,112,0.585,96.0,9.0,0.772,0.303,0.185,156.2
2018,MIL,NL,96,67,1,4374,795,4.9,104,0.302,0.252,0.323,0.424,0.747,99,0.530,-16.2,-1.9,0.714,0.286,0.172,158.1
2018,NYY,AL,100,62,1,4338,855,5.3,99,0.285,0.249,0.329,0.452,0.781,112,0.559,93.2,8.9,0.759,0.323,0.202,101.9
