,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak
2776,"Wednesday, Apr 28",NYY,@,BAL,W,7.0,0.0,9.0,11-13,4.0,4.5,German,Kremer,None,2:33,N,7338.0,.88,2.0
2777,"Thursday, Apr 29",NYY,@,BAL,L-wo,3.0,4.0,10.0,11-14,4.0,4.5,Scott,Loaisiga,None,3:30,D,7738.0,.96,-1.0
2778,"Friday, Apr 30",NYY,Home,DET,W,10.0,0.0,9.0,12-14,4.0,4.5,Cole,Skubal,None,3:03,N,9523.0,.86,1.0
2779,"Saturday, May 1",NYY,Home,DET,W,6.0,4.0,9.0,13-14,3.0,3.5,Taillon,Turnbull,Chapman,3:25,D,10015.0,.84,2.0
2780,"Sunday, May 2",NYY,Home,DET,W,2.0,0.0,9.0,14-14,3.0,2.5,Kluber,Urena,Chapman,2:14,D,10021.0,.92,3.0
2781,"Tuesday, May 4",NYY,Home,HOU,W,7.0,3.0,9.0,15-14,2.0,2.5,Luetge,Bielak,None,3:27,N,10850.0,1.02,4.0
2782,"Wednesday, May 5",NYY,Home,HOU,W,6.0,3.0,9.0,16-14,2.0,1.5,Loaisiga,Raley,Chapman,3:35,N,9895.0,1.04,5.0
2783,"Thursday, May 6",NYY,Home,HOU,L,4.0,7.0,9.0,16-15,4.0,2.5,Scrubb,Green,Pressly,3:14,D,10042.0,1.10,-1.0
2784,"Friday, May 7",NYY,Home,WSN,L,4.0,11.0,9.0,16-16,4.0,3.5,Finnegan,Loaisiga,None,3:01,N,10010.0,.97,-2.0
2785,"Saturday, May 8",NYY,Home,WSN,W-wo,4.0,3.0,11.0,17-16,3.0,3.5,Wilson,Rainey,None,3:50,D,10850.0,.89,1.0
2786,"Sunday, May 9",NYY,Home,WSN,W-wo,3.0,2.0,9.0,18-16,2.0,3.5,Chapman,Hand,None,3:04,D,10092.0,.94,2.0
2787,"Tuesday, May 11",NYY,@,TBR,W,3.0,1.0,9.0,19-16,2.0,2.0,Montgomery,Patino,Chapman,2:50,N,5441.0,1.19,3.0
2788,"Wednesday, May 12",NYY,@,TBR,W,1.0,0.0,9.0,20-16,2.0,1.0,Cole,Thompson,Chapman,2:36,N,5668.0,1.27,4.0
2789,"Thursday, May 13",NYY,@,TBR,L,1.0,9.0,9.0,20-17,3.0,2.0,Hill,Taillon,None,3:05,N,6229.0,1.29,-1.0
2790,"Friday, May 14",NYY,@,BAL,W,5.0,4.0,9.0,21-17,2.0,2.0,Kluber,Lakins,Loaisiga,2:55,N,10809.0,1.15,1.0
2791,"Saturday, May 15",NYY,@,BAL,W,8.0,2.0,9.0,22-17,2.0,2.0,German,Lopez,None,3:03,N,10767.0,1.18,2.0
2792,"Sunday, May 16",NYY,@,BAL,L,6.0,10.0,9.0,22-18,3.0,2.0,Zimmermann,King,None,3:13,D,11070.0,1.21,-1.0
2793,"Monday, May 17",NYY,@,TEX,L,2.0,5.0,9.0,22-19,4.0,2.5,Lyles,Cole,Kennedy,2:38,N,28040.0,1.13,-2.0
2794,"Tuesday, May 18",NYY,@,TEX,W,7.0,4.0,9.0,23-19,4.0,1.5,Peralta,Foltynewicz,Chapman,3:31,N,26522.0,1.11,1.0
2795,"Wednesday, May 19",NYY,@,TEX,W,2.0,0.0,9.0,24-19,3.0,1.5,Kluber,Yang,None,2:22,N,31689.0,1.15,2.0
2796,"Thursday, May 20",NYY,@,TEX,W,2.0,0.0,9.0,25-19,3.0,1.5,German,King,Chapman,2:49,D,27581.0,1.17,3.0
2797,"Friday, May 21",NYY,Home,CHW,W-wo,2.0,1.0,9.0,26-19,3.0,1.5,Chapman,Marshall,None,2:53,N,14011.0,1.28,4.0
2798,"Saturday, May 22",NYY,Home,CHW,W,7.0,0.0,9.0,27-19,3.0,1.5,Cole,Cease,None,3:06,D,14665.0,1.28,5.0
2799,"Sunday, May 23",NYY,Home,CHW,W-wo,5.0,4.0,9.0,28-19,3.0,0.5,Chapman,Bummer,None,3:37,D,14007.0,1.29,6.0
2800,"Tuesday, May 25",NYY,Home,TOR,L,2.0,6.0,9.0,28-20,3.0,1.0,Matz,Kluber,None,3:02,N,12025.0,1.41,-1.0
2802,"Thursday, May 27 (2)",NYY,Home,TOR,W,5.0,3.0,7.0,29-21,3.0,2.0,Loaisiga,Ray,Green,2:16,N,14056.0,1.38,1.0
2803,"Friday, May 28",NYY,@,DET,L-wo,2.0,3.0,10.0,29-22,3.0,2.5,Garcia,Wilson,None,3:34,N,8000.0,1.18,-1.0
2804,"Saturday, May 29",NYY,@,DET,L,1.0,6.0,9.0,29-23,3.0,3.5,Turnbull,Garcia,None,2:54,D,8000.0,1.20,-2.0
2805,"Sunday, May 30",NYY,@,DET,L,2.0,6.0,9.0,29-24,3.0,4.5,Skubal,King,None,3:06,D,8000.0,1.13,-3.0
2806,"Monday, May 31",NYY,Home,TBR,L,1.0,3.0,9.0,29-25,3.0,5.5,Hill,Taillon,Feyereisen,2:43,D,17008.0,1.24,-4.0
2807,"Tuesday, Jun 1",NYY,Home,TBR,W-wo,5.0,3.0,11.0,30-25,3.0,4.5,Cessa,Kittredge,None,3:45,N,12537.0,1.27,1.0
2808,"Wednesday, Jun 2",NYY,Home,TBR,W,4.0,3.0,9.0,31-25,3.0,3.5,Montgomery,McClanahan,Chapman,3:38,N,13824.0,1.34,2.0
2809,"Thursday, Jun 3",NYY,Home,TBR,L,2.0,9.0,9.0,31-26,3.0,4.5,Yarbrough,Cole,None,2:58,D,12614.0,1.42,-1.0
2810,"Friday, Jun 4",NYY,Home,BOS,L,2.0,5.0,9.0,31-27,3.0,4.5,Eovaldi,King,Barnes,2:49,N,18040.0,1.25,-2.0
2811,"Saturday, Jun 5",NYY,Home,BOS,L,3.0,7.0,9.0,31-28,4.0,5.5,Whitlock,Green,Barnes,3:14,N,20019.0,1.18,-3.0
2812,"Sunday, Jun 6",NYY,Home,BOS,L,5.0,6.0,10.0,31-29,4.0,6.5,Barnes,Cessa,Valdez,3:49,N,19103.0,1.10,-4.0
2813,"Tuesday, Jun 8",NYY,@,MIN,W,8.0,4.0,9.0,32-29,3.0,6.5,Loaisiga,Rogers,None,3:32,N,17949.0,.81,1.0
