,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak
999,"Wednesday, May 5",CIN,Home,CHW,W-wo,1.0,0.0,10.0,14-15,3.0,3.0,Sims,Hendriks,None,3:10,D,10247.0,.80,1.0
1000,"Friday, May 7",CIN,@,CLE,W,3.0,0.0,9.0,15-15,3.0,2.5,Miley,Clase,None,2:34,N,7803.0,.92,2.0
1001,"Saturday, May 8",CIN,@,CLE,L,2.0,9.0,9.0,15-16,4.0,3.5,Civale,Castillo,None,3:08,N,9968.0,.96,-1.0
1002,"Monday, May 10",CIN,@,PIT,W,14.0,1.0,9.0,16-16,3.0,3.5,Mahle,Keller,None,3:19,N,4065.0,.96,1.0
1003,"Tuesday, May 11",CIN,@,PIT,L,2.0,7.0,9.0,16-17,3.0,4.5,Brubaker,Hoffman,None,3:08,N,4049.0,1.00,-1.0
1004,"Wednesday, May 12",CIN,@,PIT,W,5.0,1.0,10.0,17-17,3.0,3.5,Sims,Underwood,None,3:55,D,4515.0,.98,1.0
1005,"Thursday, May 13",CIN,@,COL,L,8.0,13.0,9.0,17-18,3.0,4.5,Gonzalez,Castillo,None,3:36,N,13647.0,.98,-1.0
1006,"Friday, May 14",CIN,@,COL,L,6.0,9.0,9.0,17-19,4.0,4.5,Marquez,Miley,Bard,3:20,N,20232.0,.96,-2.0
1007,"Saturday, May 15",CIN,@,COL,W,6.0,5.0,12.0,18-19,3.0,3.5,Sims,Santos,Hembree,4:10,N,20136.0,.93,1.0
1008,"Sunday, May 16",CIN,@,COL,W,7.0,6.0,9.0,19-19,3.0,2.5,Doolittle,Givens,Antone,3:56,D,15541.0,1.03,2.0
1009,"Monday, May 17",CIN,Home,SFG,L,3.0,6.0,9.0,19-20,4.0,3.0,Webb,Gray,Rogers,3:02,N,11004.0,1.08,-1.0
1010,"Tuesday, May 18",CIN,Home,SFG,L,2.0,4.0,9.0,19-21,4.0,4.0,DeSclafani,Castillo,McGee,2:52,N,8745.0,1.00,-2.0
1011,"Wednesday, May 19",CIN,Home,SFG,L,0.0,4.0,9.0,19-22,4.0,5.0,Gausman,Miley,None,3:07,N,10326.0,.94,-3.0
1012,"Thursday, May 20",CIN,Home,SFG,L,4.0,19.0,9.0,19-23,4.0,5.5,Cueto,Mahle,None,3:47,D,11656.0,.88,-4.0
1013,"Friday, May 21",CIN,Home,MIL,W,9.0,4.0,9.0,20-23,4.0,4.5,Hoffman,Houser,None,3:29,N,17234.0,.84,1.0
1014,"Saturday, May 22",CIN,Home,MIL,L,3.0,4.0,9.0,20-24,4.0,5.5,Suter,Hembree,Hader,3:07,D,17611.0,.94,-1.0
1015,"Sunday, May 23",CIN,Home,MIL,L,4.0,9.0,9.0,20-25,4.0,5.5,Boxberger,Castillo,None,3:30,D,16171.0,.85,-2.0
1016,"Tuesday, May 25",CIN,@,WSN,W,2.0,1.0,9.0,21-25,4.0,4.0,Mahle,Scherzer,Sims,2:52,N,8935.0,.74,1.0
1017,"Wednesday, May 26",CIN,@,WSN,L,3.0,5.0,9.0,21-26,4.0,5.0,Voth,Hoffman,Hand,3:26,D,7343.0,.83,-1.0
1018,"Thursday, May 27",CIN,@,WSN,W,3.0,0.0,7.0,22-26,4.0,5.0,Gray,Strasburg,Sims,2:07,N,9020.0,.73,1.0
1019,"Friday, May 28",CIN,@,CHC,L,0.0,1.0,9.0,22-27,4.0,6.0,Alzolay,Gutiérrez,Kimbrel,2:57,D,18478.0,.89,-1.0
1020,"Saturday, May 29",CIN,@,CHC,L,2.0,10.0,9.0,22-28,4.0,7.0,Thompson,Castillo,None,3:13,D,24275.0,.77,-2.0
1021,"Sunday, May 30",CIN,@,CHC,W,5.0,1.0,9.0,23-28,4.0,6.0,Mahle,Arrieta,Antone,3:27,D,24824.0,.59,1.0
1022,"Monday, May 31",CIN,Home,PHI,W,11.0,1.0,9.0,24-28,4.0,5.5,Miley,Velasquez,None,2:53,D,17878.0,.62,2.0
1023,"Tuesday, Jun 1",CIN,Home,PHI,L,3.0,17.0,9.0,24-29,4.0,6.5,Nola,Gray,None,3:36,N,10788.0,.70,-1.0
1024,"Thursday, Jun 3",CIN,@,STL,W,4.0,2.0,9.0,25-29,4.0,6.0,Gutiérrez,Wainwright,Sims,3:07,N,15327.0,.72,1.0
1025,"Friday, Jun 4",CIN,@,STL,W,6.0,4.0,9.0,26-29,4.0,5.0,Castillo,Kim,Feliz,3:26,N,22756.0,.80,2.0
1026,"Saturday, Jun 5",CIN,@,STL,W,5.0,2.0,9.0,27-29,4.0,4.0,Mahle,Helsley,Sims,3:06,D,23365.0,.90,3.0
1027,"Sunday, Jun 6",CIN,@,STL,W,8.0,7.0,9.0,28-29,4.0,4.0,Hembree,Reyes,Sims,3:50,D,21152.0,1.05,4.0
1028,"Tuesday, Jun 8",CIN,Home,MIL,L,1.0,5.0,9.0,28-30,4.0,5.0,Houser,Hendrix,None,3:39,N,11897.0,1.13,-1.0
1029,"Wednesday, Jun 9",CIN,Home,MIL,W,7.0,3.0,9.0,29-30,4.0,4.5,Gutiérrez,Anderson,None,3:17,N,11862.0,1.00,1.0
1030,"Thursday, Jun 10",CIN,Home,MIL,L,2.0,7.0,9.0,29-31,4.0,5.0,Suter,Castillo,None,3:16,D,12423.0,1.00,-1.0
1031,"Friday, Jun 11",CIN,Home,COL,W,11.0,5.0,9.0,30-31,4.0,5.0,Mahle,Freeland,None,3:09,N,20505.0,.75,1.0
1032,"Saturday, Jun 12",CIN,Home,COL,W,10.0,3.0,9.0,31-31,3.0,5.0,Miley,Marquez,None,3:02,D,23765.0,.84,2.0
1033,"Sunday, Jun 13",CIN,Home,COL,W,6.0,2.0,9.0,32-31,3.0,5.0,Hendrix,Senzatela,None,3:11,D,18268.0,.87,3.0
1034,"Monday, Jun 14",CIN,@,MIL,W,10.0,2.0,9.0,33-31,3.0,4.0,Gutiérrez,Lauer,None,3:18,N,17127.0,1.14,4.0
1035,"Tuesday, Jun 15",CIN,@,MIL,W,2.0,1.0,10.0,34-31,3.0,3.0,Sims,Boxberger,Garrett,3:15,N,16584.0,1.21,5.0
1036,"Wednesday, Jun 16",CIN,@,MIL,W,2.0,1.0,9.0,35-31,3.0,2.0,Mahle,Peralta,Sims,2:56,D,20088.0,1.36,6.0
1037,"Thursday, Jun 17",CIN,@,SDP,L-wo,4.0,6.0,9.0,35-32,3.0,3.0,Johnson,Garrett,None,3:07,N,40362.0,1.29,-1.0
1038,"Friday, Jun 18",CIN,@,SDP,L,2.0,8.0,9.0,35-33,3.0,3.0,Paddack,Santillan,None,3:33,N,33456.0,1.21,-2.0
1039,"Saturday, Jun 19",CIN,@,SDP,L,5.0,7.0,9.0,35-34,3.0,3.0,Crismatt,Hembree,Melancon,3:24,D,38765.0,1.15,-3.0
1040,"Sunday, Jun 20",CIN,@,SDP,L,2.0,3.0,9.0,35-35,3.0,4.0,Lamet,Castillo,Melancon,3:00,D,38004.0,1.12,-4.0
1041,"Monday, Jun 21",CIN,@,MIN,L-wo,5.0,7.0,12.0,35-36,4.0,4.0,Shoemaker,Hembree,None,5:14,N,17530.0,.92,-5.0
1042,"Tuesday, Jun 22",CIN,@,MIN,W,10.0,7.0,9.0,36-36,3.0,4.0,Antone,Robles,Garrett,3:29,D,19187.0,.90,1.0
1043,"Thursday, Jun 24",CIN,Home,ATL,W,5.0,3.0,9.0,37-36,3.0,4.0,Santillan,Chavez,Brach,3:12,N,23941.0,.93,2.0
1044,"Friday, Jun 25",CIN,Home,ATL,L,2.0,3.0,9.0,37-37,3.0,5.0,Smyly,Gutiérrez,Smith,3:03,N,30231.0,1.00,-1.0
1045,"Saturday, Jun 26",CIN,Home,ATL,W,4.0,1.0,9.0,38-37,3.0,5.0,Castillo,Anderson,Garrett,2:35,D,34671.0,.93,1.0
1046,"Sunday, Jun 27",CIN,Home,ATL,L,0.0,4.0,9.0,38-38,3.0,6.0,Muller,Mahle,None,3:15,D,21696.0,.94,-1.0
1047,"Monday, Jun 28",CIN,Home,PHI,W,12.0,4.0,9.0,39-38,3.0,6.0,Hembree,Feliz,None,3:18,N,21006.0,.86,1.0
1048,"Tuesday, Jun 29",CIN,Home,SDP,L,4.0,5.0,9.0,39-39,3.0,7.0,Pagan,Santillan,Melancon,3:50,N,16332.0,1.01,-1.0
1049,"Wednesday, Jun 30",CIN,Home,SDP,L,5.0,7.0,6.0,39-40,3.0,8.0,Musgrove,Gutiérrez,Hill,2:03,N,12084.0,.88,-2.0
1050,"Thursday, Jul 1",CIN,Home,SDP,W-wo,5.0,4.0,9.0,40-40,3.0,8.0,Warren,Melancon,None,3:52,N,16620.0,.73,1.0
1051,"Friday, Jul 2",CIN,Home,CHC,W,2.0,1.0,9.0,41-40,3.0,8.0,Osich,Mills,Hembree,3:12,N,40854.0,.87,2.0
1052,"Saturday, Jul 3",CIN,Home,CHC,W,3.0,2.0,9.0,42-40,2.0,8.0,Hendrix,Alzolay,Hembree,2:58,D,36815.0,.82,3.0
1053,"Sunday, Jul 4",CIN,Home,CHC,W,3.0,2.0,9.0,43-40,2.0,7.0,Warren,Winkler,Garrett,2:59,D,29340.0,.92,4.0
1054,"Monday, Jul 5",CIN,@,KCR,W,6.0,2.0,9.0,44-40,2.0,6.0,Gutiérrez,Minor,None,3:00,N,14709.0,.96,5.0
1055,"Tuesday, Jul 6",CIN,@,KCR,L-wo,6.0,7.0,9.0,44-41,2.0,6.5,Lovelady,Hembree,None,3:32,N,14491.0,1.10,-1.0
1056,"Wednesday, Jul 7",CIN,@,KCR,W,5.0,2.0,9.0,45-41,2.0,6.0,Gray,Barlow,Hembree,3:09,D,11457.0,1.04,1.0
1057,"Thursday, Jul 8",CIN,@,MIL,L,3.0,5.0,9.0,45-42,2.0,7.0,Williams,Brach,Hader,3:16,N,22948.0,1.56,-1.0
1058,"Friday, Jul 9",CIN,@,MIL,W,2.0,0.0,9.0,46-42,2.0,6.0,Miley,Lauer,Hembree,2:50,N,24844.0,1.39,1.0
1059,"Saturday, Jul 10",CIN,@,MIL,W,4.0,3.0,9.0,47-42,2.0,5.0,Osich,Hader,Hembree,3:18,N,32034.0,1.62,2.0
1060,"Sunday, Jul 11",CIN,@,MIL,W,3.0,1.0,9.0,48-42,2.0,4.0,Hendrix,Hader,Osich,3:48,D,32135.0,1.81,3.0
1061,"Friday, Jul 16",CIN,Home,MIL,L,6.0,11.0,9.0,48-43,2.0,5.0,Suter,Garrett,None,3:29,N,34844.0,2.00,-1.0
1062,"Saturday, Jul 17",CIN,Home,MIL,L,4.0,7.0,11.0,48-44,2.0,6.0,Gustave,Doolittle,None,4:37,N,37204.0,1.76,-2.0
1063,"Sunday, Jul 18",CIN,Home,MIL,L,0.0,8.0,9.0,48-45,2.0,7.0,Burnes,Gray,None,3:21,D,29001.0,1.50,-3.0
1064,"Monday, Jul 19",CIN,Home,NYM,L,11.0,15.0,11.0,48-46,2.0,7.5,Banda,Garcia,May,4:45,N,17080.0,.94,-4.0
1065,"Tuesday, Jul 20",CIN,Home,NYM,W,4.0,3.0,9.0,49-46,2.0,6.5,Miley,Nogosek,Garrett,3:13,N,19096.0,.82,1.0
1066,"Wednesday, Jul 21",CIN,Home,NYM,L,0.0,7.0,9.0,49-47,2.0,6.5,Stroman,Hoffman,None,2:59,D,19896.0,.99,-1.0
1067,"Friday, Jul 23",CIN,Home,STL,W,6.0,5.0,9.0,50-47,2.0,6.5,Brach,Gallegos,Hembree,3:43,N,30605.0,1.00,1.0
1068,"Saturday, Jul 24",CIN,Home,STL,W,5.0,3.0,9.0,51-47,2.0,6.5,Castillo,Woodford,Hembree,2:55,N,33489.0,1.07,2.0
1069,"Sunday, Jul 25",CIN,Home,STL,L,6.0,10.0,9.0,51-48,2.0,6.5,Helsley,Gray,None,4:04,D,21947.0,1.08,-1.0
1070,"Monday, Jul 26",CIN,@,CHC,L-wo,5.0,6.0,9.0,51-49,2.0,7.0,Kimbrel,Hembree,None,4:00,N,29215.0,1.01,-2.0
1071,"Tuesday, Jul 27",CIN,@,CHC,W,7.0,4.0,9.0,52-49,2.0,7.0,Gutiérrez,Alzolay,None,3:12,N,28153.0,.92,1.0
1072,"Wednesday, Jul 28",CIN,@,CHC,W,8.0,2.0,9.0,53-49,2.0,7.0,Mahle,Davies,None,3:37,N,30134.0,.91,2.0
1073,"Thursday, Jul 29",CIN,@,CHC,W,7.0,4.0,9.0,54-49,2.0,7.0,Castillo,Mills,None,3:12,D,32793.0,1.00,3.0
1074,"Friday, Jul 30",CIN,@,NYM,W,6.0,2.0,9.0,55-49,2.0,7.0,Gray,Castro,None,3:02,N,31787.0,1.04,4.0
1075,"Saturday, Jul 31",CIN,@,NYM,L-wo,4.0,5.0,10.0,55-50,2.0,7.0,Diaz,Cessa,None,3:22,N,26477.0,1.12,-1.0
1076,"Sunday, Aug 1",CIN,@,NYM,W,7.0,1.0,9.0,56-50,2.0,7.0,Gutiérrez,Stroman,None,3:06,D,23443.0,1.10,1.0
1077,"Tuesday, Aug 3",CIN,Home,MIN,L,5.0,7.0,9.0,56-51,2.0,7.5,Coulombe,Hembree,Colome,3:37,N,18396.0,1.04,-1.0
1078,"Wednesday, Aug 4",CIN,Home,MIN,W,6.0,5.0,9.0,57-51,2.0,7.5,Castillo,Barnes,Lorenzen,3:15,D,16828.0,.98,1.0
1079,"Thursday, Aug 5",CIN,Home,PIT,W,7.0,4.0,9.0,58-51,2.0,7.0,Gray,Crowe,Givens,3:17,N,19393.0,1.06,2.0
1080,"Friday, Aug 6",CIN,Home,PIT,W,10.0,0.0,9.0,59-51,2.0,7.0,Miley,Brubaker,None,2:41,N,27804.0,1.09,3.0
1081,"Saturday, Aug 7",CIN,Home,PIT,W,11.0,3.0,9.0,60-51,2.0,6.0,Gutiérrez,Keller,None,3:15,N,31297.0,1.17,4.0
1082,"Sunday, Aug 8",CIN,Home,PIT,W,3.0,2.0,9.0,61-51,2.0,5.0,Mahle,Wilson,Givens,2:52,D,23740.0,1.33,5.0
1083,"Monday, Aug 9",CIN,@,CLE,L,3.0,9.0,9.0,61-52,2.0,5.5,Garza,Castillo,None,3:09,N,10708.0,1.41,-1.0
1084,"Tuesday, Aug 10",CIN,@,ATL,L,2.0,3.0,9.0,61-53,2.0,7.0,Smyly,Hembree,Smith,3:02,N,24432.0,1.35,-2.0
1085,"Wednesday, Aug 11",CIN,@,ATL,L-wo,6.0,8.0,11.0,61-54,2.0,8.0,Santana,Sims,None,3:58,N,23375.0,1.09,-3.0
1086,"Thursday, Aug 12",CIN,@,ATL,W,12.0,3.0,9.0,62-54,2.0,8.0,Gutiérrez,Muller,None,3:12,N,23395.0,.91,1.0
1087,"Friday, Aug 13",CIN,@,PHI,W,6.0,1.0,9.0,63-54,2.0,7.5,Mahle,Wheeler,None,2:58,N,26074.0,1.02,2.0
1088,"Saturday, Aug 14",CIN,@,PHI,L,1.0,6.0,9.0,63-55,2.0,8.0,Moore,Castillo,None,2:38,D,25100.0,1.13,-1.0
1089,"Sunday, Aug 15",CIN,@,PHI,W,7.0,4.0,9.0,64-55,2.0,8.0,Sims,Nola,Givens,3:54,D,28544.0,1.04,1.0
1090,"Monday, Aug 16",CIN,Home,CHC,W,14.0,5.0,9.0,65-55,2.0,7.5,Miley,Steele,None,3:37,N,15404.0,1.03,2.0
1091,"Tuesday, Aug 17",CIN,Home,CHC,L,1.0,2.0,9.0,65-56,2.0,8.5,Hendricks,Gutiérrez,Heuer,2:45,N,13989.0,1.10,-1.0
1092,"Wednesday, Aug 18",CIN,Home,CHC,L,1.0,7.0,9.0,65-57,2.0,9.5,Rodriguez,Mahle,None,3:01,D,16922.0,1.04,-2.0
1093,"Thursday, Aug 19",CIN,Home,MIA,W,6.0,1.0,9.0,66-57,2.0,8.5,Castillo,Neidert,None,2:43,N,11581.0,.89,1.0
1094,"Friday, Aug 20",CIN,Home,MIA,W,5.0,3.0,9.0,67-57,2.0,7.5,Gray,Hernandez,Givens,2:35,N,19106.0,1.05,2.0
1095,"Saturday, Aug 21",CIN,Home,MIA,W,7.0,4.0,9.0,68-57,2.0,7.5,Cessa,Bender,Lorenzen,2:52,N,34433.0,1.20,3.0
1096,"Sunday, Aug 22",CIN,Home,MIA,W,3.0,1.0,9.0,69-57,2.0,7.5,Gutiérrez,Alcantara,Lorenzen,2:43,D,17797.0,1.17,4.0
1097,"Tuesday, Aug 24",CIN,@,MIL,L,4.0,7.0,9.0,69-58,2.0,8.5,Strickland,Lorenzen,Hader,3:46,N,24819.0,1.48,-1.0
1098,"Wednesday, Aug 25",CIN,@,MIL,L,1.0,4.0,9.0,69-59,2.0,9.5,Woodruff,Castillo,None,3:08,N,24715.0,1.30,-2.0
1099,"Thursday, Aug 26",CIN,@,MIL,W,5.0,1.0,9.0,70-59,2.0,8.5,Gray,Anderson,None,3:00,D,28656.0,1.13,1.0
1100,"Friday, Aug 27",CIN,@,MIA,W,6.0,0.0,9.0,71-59,2.0,7.5,Miley,Thompson,None,2:28,N,7119.0,1.03,2.0
1101,"Saturday, Aug 28",CIN,@,MIA,L,1.0,6.0,9.0,71-60,2.0,7.5,Alcantara,Gutiérrez,None,3:00,N,10407.0,1.12,-1.0
1102,"Sunday, Aug 29",CIN,@,MIA,L,1.0,2.0,9.0,71-61,2.0,8.5,Luzardo,Mahle,Floro,2:36,D,11019.0,1.17,-2.0
1103,"Monday, Aug 30",CIN,Home,STL,L,1.0,3.0,9.0,71-62,2.0,9.5,Lester,Castillo,Gallegos,2:47,N,10773.0,1.40,-3.0
1104,"Wednesday, Sep 1 (1)",CIN,Home,STL,L,4.0,5.0,7.0,71-63,2.0,10.5,Cabrera,Miley,Gallegos,2:20,D,10365.0,1.29,-4.0
1105,"Wednesday, Sep 1 (2)",CIN,Home,STL,W,12.0,2.0,7.0,72-63,2.0,10.5,Gray,Happ,None,2:48,N,10892.0,1.25,1.0
1106,"Friday, Sep 3",CIN,Home,DET,L,5.0,15.0,9.0,72-64,2.0,10.0,Holland,Gutiérrez,None,4:00,N,19430.0,1.11,-1.0
1107,"Saturday, Sep 4",CIN,Home,DET,W,7.0,4.0,9.0,73-64,2.0,10.0,Mahle,Boyd,Givens,3:18,N,26962.0,1.10,1.0
1108,"Sunday, Sep 5",CIN,Home,DET,L,1.0,4.0,9.0,73-65,2.0,11.0,Urena,Castillo,Soto,2:54,D,23083.0,1.17,-1.0
1109,"Monday, Sep 6",CIN,@,CHC,L,3.0,4.0,9.0,73-66,2.0,11.0,Effross,Lorenzen,Morgan,2:45,D,27289.0,1.08,-2.0
1110,"Tuesday, Sep 7",CIN,@,CHC,W,4.0,3.0,9.0,74-66,2.0,11.0,Miley,Sampson,Givens,2:49,N,24925.0,1.06,1.0
1111,"Wednesday, Sep 8",CIN,@,CHC,L-wo,1.0,4.0,10.0,74-67,2.0,12.0,Heuer,Brach,None,2:49,N,25861.0,1.19,-1.0
1133,"Thursday, Apr 1",CLE,@,DET,L,2.0,3.0,9.0,0-1,3.0,1.0,Boyd,Bieber,Soto,3:03,D,8000.0,1.08,-1.0
1134,"Saturday, Apr 3",CLE,@,DET,L,2.0,5.0,9.0,0-2,5.0,2.0,Teheran,Plesac,Garcia,3:17,D,8000.0,1.03,-2.0
1135,"Sunday, Apr 4",CLE,@,DET,W,9.0,3.0,9.0,1-2,4.0,1.0,Civale,Norris,None,2:38,D,8000.0,.96,1.0
1136,"Monday, Apr 5",CLE,Home,KCR,L,0.0,3.0,9.0,1-3,5.0,2.0,Duffy,Allen,Hahn,2:52,D,8914.0,1.03,-1.0
1137,"Wednesday, Apr 7",CLE,Home,KCR,W,4.0,2.0,9.0,2-3,4.0,1.5,Clase,Holland,Wittgren,2:53,D,5908.0,.93,1.0
1138,"Friday, Apr 9",CLE,Home,DET,W,4.0,1.0,9.0,3-3,2.0,1.5,Plesac,Holland,Clase,2:40,N,7775.0,1.01,2.0
1139,"Saturday, Apr 10",CLE,Home,DET,W,11.0,3.0,9.0,4-3,2.0,0.5,Civale,Skubal,None,2:53,N,7570.0,1.06,3.0
1140,"Sunday, Apr 11",CLE,Home,DET,W,5.0,2.0,9.0,5-3,1.0,up 0.5,Allen,Urena,Clase,3:04,D,6859.0,1.10,4.0
1141,"Monday, Apr 12",CLE,@,CHW,L-wo,3.0,4.0,9.0,5-4,1.0,Tied,Heuer,Clase,None,3:05,N,7393.0,1.19,-1.0
1142,"Tuesday, Apr 13",CLE,@,CHW,W,2.0,0.0,10.0,6-4,1.0,up 0.5,Bieber,Crochet,Karinchak,3:02,N,7102.0,1.17,1.0
1143,"Wednesday, Apr 14",CLE,@,CHW,L,0.0,8.0,9.0,6-5,2.0,0.5,Rodon,Plesac,None,2:40,N,7148.0,1.20,-1.0
1144,"Thursday, Apr 15",CLE,@,CHW,W,4.0,2.0,9.0,7-5,2.0,0.5,Civale,Lynn,Clase,3:17,D,7049.0,1.21,1.0
1145,"Friday, Apr 16",CLE,@,CIN,L,3.0,10.0,9.0,7-6,2.0,1.0,Hoffman,Allen,None,3:11,N,12497.0,1.08,-1.0
1146,"Saturday, Apr 17",CLE,@,CIN,L-wo,2.0,3.0,10.0,7-7,2.0,1.5,Doolittle,Perez,None,3:25,D,12598.0,1.00,-2.0
1147,"Sunday, Apr 18",CLE,@,CIN,W,6.0,3.0,9.0,8-7,2.0,1.5,Bieber,Miley,Clase,2:42,D,12551.0,.95,1.0
1148,"Tuesday, Apr 20",CLE,Home,CHW,L,5.0,8.0,9.0,8-8,2.0,1.0,Rodon,Plesac,Hendriks,3:39,N,4176.0,1.19,-1.0
1149,"Thursday, Apr 22",CLE,Home,NYY,L,3.0,6.0,9.0,8-9,3.0,2.0,German,Wittgren,Chapman,3:31,N,6380.0,1.01,-2.0
1150,"Friday, Apr 23",CLE,Home,NYY,L,3.0,5.0,9.0,8-10,3.0,3.0,Luetge,Allen,Chapman,3:17,N,8662.0,.99,-3.0
1151,"Saturday, Apr 24",CLE,Home,NYY,L,1.0,2.0,9.0,8-11,3.0,4.0,Cole,Bieber,Loaisiga,3:05,N,8817.0,.92,-4.0
1152,"Sunday, Apr 25",CLE,Home,NYY,W,7.0,3.0,9.0,9-11,3.0,4.0,Hentges,Taillon,None,3:07,D,8766.0,.87,1.0
1153,"Monday, Apr 26",CLE,Home,MIN,W-wo,5.0,3.0,10.0,10-11,3.0,4.0,Clase,Colome,None,3:10,N,4555.0,.95,2.0
1154,"Tuesday, Apr 27",CLE,Home,MIN,W,7.0,4.0,9.0,11-11,3.0,3.0,Civale,Maeda,Karinchak,3:07,N,6303.0,1.04,3.0
1155,"Wednesday, Apr 28",CLE,Home,MIN,L,2.0,10.0,9.0,11-12,3.0,4.0,Happ,Allen,None,3:00,D,5903.0,1.08,-1.0
1156,"Friday, Apr 30",CLE,@,CHW,W,5.0,3.0,9.0,12-12,3.0,3.0,Bieber,Keuchel,Clase,2:55,N,9405.0,1.07,1.0
1157,"Saturday, May 1",CLE,@,CHW,L,3.0,7.0,9.0,12-13,3.0,4.0,Lynn,McKenzie,None,3:02,D,9451.0,1.15,-1.0
1158,"Sunday, May 2",CLE,@,CHW,W,5.0,0.0,9.0,13-13,3.0,3.0,Plesac,Giolito,None,3:19,D,9471.0,1.12,1.0
1159,"Monday, May 3",CLE,@,KCR,W,8.0,6.0,9.0,14-13,3.0,2.0,Shaw,Junis,Clase,3:40,N,6919.0,1.30,2.0
1160,"Tuesday, May 4",CLE,@,KCR,W,7.0,3.0,9.0,15-13,3.0,1.0,Wittgren,Staumont,None,3:39,N,5997.0,1.32,3.0
1161,"Wednesday, May 5",CLE,@,KCR,W,5.0,4.0,9.0,16-13,1.0,Tied,Wittgren,Davis,Karinchak,3:09,N,9640.0,1.35,4.0
1162,"Thursday, May 6",CLE,@,KCR,W,4.0,0.0,9.0,17-13,1.0,up 0.5,McKenzie,Duffy,None,3:10,D,9259.0,1.43,5.0
1163,"Friday, May 7",CLE,Home,CIN,L,0.0,3.0,9.0,17-14,2.0,0.5,Miley,Clase,None,2:34,N,7803.0,1.23,-1.0
1164,"Saturday, May 8",CLE,Home,CIN,W,9.0,2.0,9.0,18-14,2.0,0.5,Civale,Castillo,None,3:08,N,9968.0,1.16,1.0
1165,"Tuesday, May 11",CLE,Home,CHC,W,3.0,2.0,9.0,19-14,2.0,1.0,Bieber,Alzolay,Clase,2:56,N,8024.0,1.17,2.0
1166,"Wednesday, May 12",CLE,Home,CHC,W-wo,2.0,1.0,10.0,20-14,2.0,1.0,Karinchak,Thompson,None,3:50,D,8589.0,1.24,3.0
1167,"Thursday, May 13",CLE,@,SEA,W,4.0,2.0,9.0,21-14,2.0,1.0,Plesac,Gilbert,Shaw,2:36,N,9880.0,1.25,4.0
1168,"Friday, May 14",CLE,@,SEA,L,3.0,7.0,9.0,21-15,2.0,1.5,Flexen,Civale,Montero,3:06,N,10014.0,1.21,-1.0
1169,"Saturday, May 15",CLE,@,SEA,L,3.0,7.0,9.0,21-16,2.0,1.5,Sheffield,McKenzie,None,3:09,N,10311.0,1.27,-2.0
1170,"Sunday, May 16",CLE,@,SEA,L,2.0,3.0,9.0,21-17,2.0,2.5,Sewald,Bieber,Graveman,3:36,D,10287.0,1.34,-3.0
1171,"Monday, May 17",CLE,@,LAA,L,4.0,7.0,9.0,21-18,2.0,3.5,Watson,Hentges,Iglesias,3:23,N,9527.0,1.22,-4.0
1172,"Tuesday, May 18",CLE,@,LAA,W,6.0,5.0,9.0,22-18,2.0,2.5,Plesac,Claudio,Karinchak,2:48,N,9491.0,1.15,1.0
1173,"Wednesday, May 19",CLE,@,LAA,W,3.0,2.0,9.0,23-18,2.0,2.5,Civale,Watson,Karinchak,3:05,N,10378.0,1.20,2.0
1174,"Friday, May 21",CLE,Home,MIN,L,0.0,10.0,9.0,23-19,2.0,2.5,Dobnak,McKenzie,None,3:10,N,11675.0,1.27,-1.0
1175,"Saturday, May 22",CLE,Home,MIN,W-wo,5.0,3.0,10.0,24-19,2.0,1.5,Karinchak,Colome,None,3:34,D,11505.0,1.26,1.0
1176,"Sunday, May 23",CLE,Home,MIN,L,5.0,8.0,10.0,24-20,2.0,1.5,Robles,Karinchak,Duffey,3:44,D,9805.0,1.28,-1.0
1177,"Monday, May 24",CLE,@,DET,W,6.0,5.0,9.0,25-20,2.0,1.5,Mejia,Garcia,Clase,3:31,N,7832.0,1.32,1.0
1178,"Tuesday, May 25",CLE,@,DET,W,4.0,1.0,9.0,26-20,2.0,1.5,Civale,Skubal,Karinchak,2:47,N,8000.0,1.33,2.0
1179,"Wednesday, May 26",CLE,@,DET,L,0.0,1.0,9.0,26-21,2.0,1.5,Fulmer,Quantrill,Soto,2:39,N,7525.0,1.32,-1.0
1180,"Thursday, May 27",CLE,@,DET,W,5.0,2.0,9.0,27-21,2.0,1.5,Bieber,Boyd,None,3:06,D,8000.0,1.37,1.0
1181,"Friday, May 28",CLE,Home,TOR,L,2.0,11.0,7.0,27-22,2.0,2.0,Ryu,Morgan,None,2:55,N,9198.0,1.38,-1.0
1183,"Sunday, May 30 (2)",CLE,Home,TOR,W-wo,6.0,5.0,7.0,28-23,2.0,3.5,Clase,Chatwood,None,2:08,N,11690.0,1.24,1.0
1185,"Monday, May 31 (2)",CLE,Home,CHW,W,3.0,1.0,7.0,29-24,2.0,3.5,Maton,Lambert,Clase,2:21,N,10726.0,1.59,1.0
1186,"Tuesday, Jun 1",CLE,Home,CHW,W,6.0,5.0,9.0,30-24,2.0,2.5,Bieber,Cease,Karinchak,3:00,N,7132.0,1.70,2.0
1187,"Friday, Jun 4",CLE,@,BAL,L,1.0,3.0,9.0,30-25,2.0,4.0,Sulser,Shaw,Fry,2:50,N,12009.0,1.24,-1.0
