"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Tyler Nevin","BAL","3","11","10","2","0","0","0","1","1","1","2","0","0",".241",".305",".393",".698",".304","17893"
"Carter Kieboom","WSN","25","110","97","23","5","0","2","12","11","10","27","1","0",".240",".321",".368",".688",".304","19958"
"Jurickson Profar","SDP","23","103","91","22","5","0","2","12","10","10","16","2","1",".238",".318",".371",".689",".304","10815"
"Victor Robles","WSN","52","231","204","49","11","1","4","28","20","17","56","8","2",".239",".320",".370",".690",".303","18363"
"Ha-seong Kim","SDP","20","88","80","19","4","1","3","10","10","7","19","2","0",".238",".301",".401",".702",".303","27506"
"Matt Thaiss","LAA","1","3","3","1","0","0","0","0","0","0","1","0","0",".226",".306",".387",".693",".303","19318"
"Adolis Garcia","TEX","56","233","216","49","10","1","11","28","30","12","76","4","1",".227",".273",".438",".711",".303","19287"
"Adalberto Mondesi","KCR","38","162","150","36","7","2","6","23","17","8","48","11","2",".239",".281",".431",".712",".303","13769"
"Phillip Evans","PIT","33","139","125","30","6","0","3","15","14","12","28","1","0",".239",".313",".376",".688",".303","12950"
"David Fletcher","LAA","57","237","220","62","12","1","2","27","21","14","27","3","1",".280",".325",".363",".689",".303","17992"
"Brent Rooker","MIN","16","68","61","13","3","0","3","8","8","6","24","0","0",".216",".296",".402",".698",".302","19627"
"Jake Burger","CHW","5","21","19","5","1","0","1","2","2","1","5","0","0",".240",".297",".402",".700",".302","22275"
"Curt Casali","SFG","15","59","52","12","2","0","2","6","7","6","17","0","0",".223",".309",".384",".693",".302","12510"
"Orlando Arcia","ATL","32","134","123","31","5","0","4","16","15","9","25","2","1",".254",".304",".396",".700",".302","13185"
"Jose Iglesias","LAA","51","212","200","54","10","1","4","24","22","8","33","2","1",".270",".305",".392",".697",".302","10231"
"Kyle Garlick","MIN","1","5","4","1","0","0","0","1","1","0","2","0","0",".224",".284",".418",".702",".302","18063"
"Johan Camargo","ATL","5","20","19","5","1","0","1","2","2","2","5","0","0",".244",".304",".392",".696",".302","14950"
"Alejo Lopez","CIN","7","34","31","8","2","0","0","4","3","2","5","0","0",".267",".324",".361",".685",".301","21127"
"Ryan McKenna","BAL","4","18","16","4","1","0","0","2","2","2","5","0","0",".234",".310",".376",".686",".301","19928"
"Tom Murphy","SEA","18","71","64","14","3","0","3","8","9","6","24","0","0",".210",".280",".419",".699",".301","13499"
"Victor Caratini","SDP","24","97","86","21","4","0","2","10","11","9","23","0","0",".239",".319",".372",".691",".301","14968"
"Brett Cumberland","BAL","4","15","13","3","1","0","0","2","1","1","5","0","0",".202",".308",".370",".678",".300","sa915611"
"Joshua Fuentes","COL","33","145","136","34","8","1","4","16","17","6","37","1","0",".252",".289",".410",".700",".300","16885"
"Donovan Solano","SFG","48","208","192","51","10","1","3","21","20","12","41","1","0",".268",".315",".371",".685",".300","8623"
"Tucker Barnhart","CIN","35","147","131","30","6","0","4","16","15","14","37","0","0",".232",".311",".374",".685",".300","10200"
"Chad Pinder","OAK","32","137","124","29","6","0","5","15","15","9","36","0","0",".232",".295",".395",".690",".300","15191"
"Chris Owings","COL","5","21","20","5","1","0","1","3","2","1","6","1","0",".239",".295",".399",".694",".300","10030"
"Luis Campusano","SDP","3","11","10","3","1","0","0","1","1","1","2","0","0",".248",".306",".382",".688",".300","22217"
"Heliot Ramos","SFG","2","8","7","2","0","0","0","1","1","1","2","0","0",".240",".304",".384",".688",".300","sa3004693"
"Rio Ruiz","COL","10","43","39","9","2","0","1","5","5","3","10","0","0",".237",".300",".391",".690",".299","14103"
"Jeter Downs","BOS","1","5","4","1","0","0","0","1","1","0","1","0","0",".227",".293",".399",".692",".299","sa3004615"
"Phil Gosselin","LAA","18","75","68","17","3","0","2","8","8","6","18","0","0",".245",".306",".380",".685",".299","10953"
"Luis Garcia","WSN","20","88","83","21","4","0","2","10","10","5","18","1","0",".258",".300",".391",".691",".299","20391"
"Ka'ai Tom","PIT","12","53","47","10","2","0","1","6","5","5","14","1","0",".223",".307",".376",".684",".299","18136"
"Brett Gardner","NYY","42","179","155","34","6","1","4","21","15","20","41","2","1",".221",".314",".360",".674",".299","9927"
"Francisco Mejia","TBR","28","112","103","25","5","0","3","12","13","7","25","0","0",".240",".295",".396",".691",".299","16403"
"Robert Witt Jr.","KCR","7","30","28","7","1","0","1","3","3","2","7","0","0",".242",".291",".401",".692",".299","sa3011225"
"Marwin Gonzalez","BOS","28","120","108","26","6","0","3","14","12","9","28","1","0",".241",".307",".375",".682",".299","5497"
"Tony Kemp","OAK","33","143","124","29","5","1","2","16","11","15","25","3","1",".236",".325",".343",".668",".298","14894"
"Cal Raleigh","SEA","27","106","97","22","5","0","4","11","13","8","25","1","0",".223",".284",".411",".695",".298","21534"
"Shogo Akiyama","CIN","25","114","102","25","5","0","2","13","10","10","25","2","1",".246",".319",".354",".674",".298","27461"
"Steven Duggar","SFG","35","151","136","32","8","1","3","17","14","13","47","3","1",".236",".306",".379",".684",".298","17719"
"Rodolfo Castro","PIT","22","92","85","20","4","0","3","10","11","6","25","1","0",".233",".286",".408",".695",".298","21987"
"Austin Dean","STL","1","3","3","1","0","0","0","0","0","0","1","0","0",".239",".300",".385",".685",".298","18288"
"Zack Collins","CHW","29","114","97","19","4","0","4","13","12","15","38","0","0",".197",".309",".363",".672",".298","19181"
"James McCann","NYM","40","164","149","35","5","0","5","18","18","12","49","1","0",".233",".298",".384",".681",".297","12859"
"Zach McKinstry","LAD","24","108","98","23","5","1","3","13","12","8","29","1","0",".230",".296",".388",".684",".297","19392"
"Stuart Fairchild","ARI","13","57","52","12","3","0","1","6","6","4","15","1","0",".236",".300",".382",".682",".297","20321"
"Kyle Higashioka","NYY","19","74","68","15","3","0","4","8","10","5","21","0","0",".213",".273",".422",".695",".297","5517"
"Kevin Plawecki","BOS","16","62","56","13","3","0","1","7","6","4","13","0","0",".239",".305",".373",".678",".297","13807"
"Taylor Walls","TBR","20","88","78","18","4","0","2","10","8","9","23","2","1",".231",".311",".365",".675",".297","22458"
"Jackie Bradley Jr.","MIL","38","169","149","33","7","1","5","19","17","15","45","3","1",".221",".303",".374",".678",".297","12984"
"Brandon Marsh","LAA","20","85","76","18","4","0","2","10","8","8","25","1","0",".235",".309",".369",".679",".297","20202"
"Edward Olivares","KCR","9","41","38","9","2","0","1","5","4","2","9","1","0",".246",".295",".392",".687",".297","19698"
"Kevin Smith","TOR","5","20","19","4","1","0","1","3","2","1","7","0","0",".221",".279",".412",".691",".297","sa915864"
"Yusniel Diaz","BAL","12","50","46","10","2","0","2","6","5","4","13","0","0",".230",".297",".383",".680",".296","sa912848"
"Daniel Robertson","MIL","1","3","3","1","0","0","0","0","0","0","1","0","0",".224",".318",".345",".663",".296","14145"
"Daz Cameron","DET","39","161","145","33","7","2","4","19","15","12","45","4","1",".230",".297",".383",".680",".296","18353"
"Pedro Severino","BAL","34","130","117","27","4","0","4","14","13","11","31","1","0",".228",".301",".376",".677",".296","14523"
"Andrew Waters","ATL","19","81","75","18","5","0","2","10","8","5","27","2","0",".242",".296",".386",".682",".296","sa3004378"
"Nico Hoerner","CHC","50","217","197","51","10","1","2","23","18","16","37","4","2",".261",".321",".353",".674",".296","21479"
"Willi Castro","DET","32","134","123","30","6","1","3","15","13","8","34","2","1",".247",".297",".386",".684",".296","17338"
"Bradley Zimmer","CLE","37","157","138","30","6","1","4","19","14","15","56","5","1",".217",".307",".361",".669",".296","16221"
"Guillermo Heredia","ATL","30","127","113","27","6","0","2","14","12","10","29","1","0",".238",".312",".359",".671",".296","18721"
"Mike Ford","TBR","1","3","3","1","0","0","0","0","0","0","1","0","0",".206",".297",".382",".679",".296","15585"
"Joshua Jung","TEX","21","87","80","20","4","0","2","9","9","6","20","1","0",".244",".299",".382",".681",".296","sa3011468"
"Daniel Johnson Jr.","CLE","13","57","52","12","3","0","2","7","6","4","17","1","0",".230",".290",".393",".683",".296","19643"
"Lars Nootbaar","STL","5","24","22","5","1","0","1","3","2","2","5","0","0",".238",".310",".367",".677",".295","21454"
"David Dahl","TEX","38","161","148","35","8","1","4","17","16","10","44","2","1",".240",".293",".388",".682",".295","13744"
"Ryan McBroom","KCR","4","19","17","4","1","0","1","2","2","1","5","0","0",".231",".291",".390",".682",".295","16524"
"Kevin Pillar","NYM","29","129","121","29","6","0","4","14","15","6","28","2","1",".240",".282",".404",".686",".295","12434"
"Willians Astudillo","MIN","7","29","27","7","1","0","1","3","3","1","2","0","0",".258",".294",".389",".683",".295","15608"
"Isiah Kiner-Falefa","TEX","58","242","224","58","10","1","4","26","20","13","40","6","2",".259",".308",".363",".671",".295","16512"
"Andres Gimenez","CLE","23","98","90","22","4","1","2","12","9","5","25","3","1",".242",".296",".381",".678",".295","19950"
"Zack Cozart","","10","42","37","8","2","0","1","4","4","3","8","0","0",".226",".299",".371",".671",".294","2616"
"Christian Vazquez","BOS","44","172","158","39","7","0","4","20","17","11","35","3","1",".248",".301",".374",".674",".294","9774"
"Jarred Kelenic","SEA","43","182","164","36","7","1","6","20","18","16","48","4","1",".222",".294",".381",".675",".294","22558"
"Rylan Bannon","BAL","6","26","24","5","1","0","1","3","3","2","6","0","0",".225",".298",".375",".672",".294","sa3004162"
"Mike Tauchman","SFG","24","105","93","21","5","1","2","12","9","11","27","2","1",".227",".310",".357",".667",".294","15274"
"J.P. Crawford","SEA","56","241","215","51","10","1","3","25","19","23","45","3","1",".238",".316",".345",".661",".294","15491"
"Alan Trejo","COL","3","13","12","3","1","0","0","1","1","1","3","0","0",".245",".288",".393",".681",".294","20056"
"Stephen Piscotty","OAK","30","130","117","26","5","0","4","14","14","10","33","1","0",".225",".293",".380",".672",".294","13367"
"Owen Miller","CLE","8","35","32","8","2","0","1","4","3","2","9","0","0",".247",".304",".366",".670",".294","24655"
"Josh Reddick","ARI","15","65","59","15","3","0","1","7","6","5","12","0","0",".251",".304",".369",".673",".293","3892"
"John Hicks","TEX","2","7","6","1","0","0","0","1","1","0","2","0","0",".228",".277",".403",".680",".293","12547"
"Jon Berti","MIA","24","102","90","21","4","1","1","12","7","10","25","4","1",".235",".318",".337",".655",".293","12037"
"Dom Nunez","COL","24","98","86","18","4","0","4","11","12","10","31","1","0",".204",".293",".384",".676",".293","15055"
"Jordy Mercer","WSN","12","52","48","12","2","0","1","5","6","4","12","0","0",".244",".300",".375",".676",".293","6547"
"Roberto Perez","CLE","33","129","113","23","4","0","5","14","14","13","41","1","0",".206",".295",".371",".665",".293","2900"
"Andy Ibanez","TEX","28","117","107","26","6","0","3","12","12","8","21","1","0",".238",".296",".378",".674",".292","18819"
"Jake Rogers","DET","8","32","28","6","1","0","1","3","4","3","11","0","0",".205",".284",".387",".671",".292","19452"
"Franchy Cordero","BOS","19","81","74","17","4","1","2","10","8","6","28","1","1",".228",".293",".381",".674",".292","14567"
"Yariel Gonzalez","DET","5","19","18","4","1","0","0","2","2","1","4","0","0",".242",".295",".382",".676",".292","sa920278"
"Leury Garcia","CHW","41","177","161","41","7","1","2","19","14","12","41","2","1",".252",".310",".352",".662",".292","5913"
"Luis Rengifo","LAA","14","60","54","13","2","0","1","7","5","5","13","1","0",".233",".302",".362",".664",".292","19858"
"Dylan Moore","SEA","37","156","140","29","6","1","6","19","15","13","46","7","2",".210",".288",".380",".668",".292","18042"
"Matt Kemp","","10","42","38","9","2","0","1","4","5","3","12","0","0",".226",".287",".386",".673",".291","5631"
"Marcus Wilson","BOS","1","3","3","1","0","0","0","0","0","0","1","0","0",".215",".292",".372",".664",".291","sa828703"
"Jaylin Davis","SFG","6","27","25","5","1","0","1","3","3","2","9","0","0",".222",".290",".378",".668",".291","19552"
"Emmanuel Rivera","KCR","14","62","58","14","3","0","1","6","7","3","12","0","0",".247",".291",".381",".672",".291","19890"
"Sam Hilliard","COL","32","143","130","28","6","1","5","17","17","11","51","3","1",".214",".280",".399",".678",".291","17954"
"Micker Adolfo","CHW","1","3","3","1","0","0","0","0","0","0","1","0","0",".214",".281",".388",".669",".291","sa830303"
"Michael A. Taylor","KCR","40","170","156","36","7","1","5","20","18","12","51","4","1",".228",".286",".382",".668",".290","11489"
"Max Schrock","CIN","2","8","8","2","0","0","0","1","1","1","2","0","0",".243",".299",".366",".665",".290","17750"
"Gilberto Celestino","MIN","5","20","19","5","1","0","0","2","2","1","5","0","0",".241",".295",".371",".666",".290","20233"
"Brian O'Grady","SDP","1","3","3","1","0","0","0","0","0","0","1","0","0",".209",".285",".386",".672",".290","16729"
"Domingo Leyba","BAL","24","100","92","21","5","0","3","10","10","7","21","0","0",".234",".289",".379",".668",".290","16404"
"Jake Bauers","SEA","28","118","103","22","5","0","3","12","11","12","31","2","1",".215",".303",".352",".655",".290","15194"
"Estevan Florial","NYY","9","38","34","7","1","0","1","4","4","3","14","1","0",".213",".289",".375",".664",".290","19151"
"Luke Raley","LAD","4","19","17","4","1","0","1","2","2","1","6","0","0",".221",".291",".372",".663",".290","19354"
"Alex Blandino","CIN","1","3","3","1","0","0","0","0","0","0","1","0","0",".213",".308",".337",".645",".290","16271"
"Adam Haseley","PHI","9","39","35","8","2","0","1","4","4","3","9","0","0",".243",".305",".356",".661",".289","19878"
"Jake Cave","MIN","22","90","81","18","4","1","2","10","9","7","30","1","0",".224",".293",".368",".661",".289","14477"
"Jo Adell","LAA","19","80","74","16","3","0","3","9","9","5","28","1","0",".222",".275",".394",".669",".289","20220"
"Oscar Mercado","CLE","33","138","125","29","7","1","3","16","12","10","30","5","1",".233",".295",".366",".661",".289","16375"
"Cristian Pache","ATL","26","111","104","25","5","1","3","13","11","6","32","2","0",".240",".287",".380",".667",".289","19948"
"Rob Refsnyder","MIN","4","17","16","4","1","0","0","2","2","1","5","0","0",".228",".301",".357",".657",".289","13770"
"Jahmai Jones","BAL","28","118","107","24","5","0","3","13","11","10","30","2","1",".228",".298",".359",".657",".289","18872"
"Niko Goodrum","DET","28","117","105","23","5","1","3","14","11","10","39","4","1",".216",".288",".374",".662",".289","12092"
"Luis Guillorme","NYM","25","113","99","24","4","0","1","11","9","12","20","1","0",".243",".327",".316",".643",".289","16451"
"Mauricio Dubon","SFG","12","51","48","12","2","0","1","6","5","3","11","1","0",".247",".293",".372",".665",".288","16530"
"Jorge Alfaro","MIA","37","143","132","31","5","0","4","15","15","7","49","2","1",".235",".289",".372",".661",".288","12180"
"Kevin Newman","PIT","54","228","212","55","10","1","2","23","20","13","26","3","1",".262",".307",".351",".658",".288","17696"
"Jacob Meyers","HOU","4","18","16","4","1","0","0","2","2","1","5","0","0",".229",".288",".372",".660",".288","sa3004621"
"Ender Inciarte","ATL","12","51","46","11","2","0","1","6","4","4","10","1","0",".241",".306",".346",".653",".288","4922"
"Chance Sisco","NYM","4","17","15","3","1","0","0","2","2","2","5","0","0",".210",".306",".336",".643",".288","15694"
"Brock Holt","TEX","24","102","90","21","4","0","1","10","8","9","19","1","0",".238",".316",".326",".642",".287","9345"
"Zach Reks","LAD","1","3","3","1","0","0","0","0","0","0","1","0","0",".221",".293",".362",".654",".287","19667"
"Victor Reyes","DET","12","52","48","12","2","1","1","6","5","3","12","1","0",".253",".295",".367",".662",".287","15487"
"Jonathan Arauz","BOS","1","5","4","1","0","0","0","1","0","0","1","0","0",".229",".292",".366",".658",".287","20275"
"Nick Maton","PHI","2","8","7","2","0","0","0","1","1","1","2","0","0",".227",".297",".357",".655",".287","21635"
"Isan Diaz","MIA","18","74","65","14","3","0","2","7","7","7","22","1","0",".210",".297",".357",".654",".287","17922"
"Jose Rojas","LAA","3","13","12","3","1","0","0","1","1","1","3","0","0",".222",".279",".387",".666",".287","19331"
"Rafael Ortega","CHC","21","92","83","19","4","1","2","10","8","8","19","2","1",".233",".299",".355",".654",".287","10323"
