"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Albert Almora Jr.","NYM","9","39","36","9","2","0","1","4","4","2","8","0","0",".235",".280",".355",".635",".275","14109"
"Jared Oliva","PIT","12","50","46","10","2","0","1","5","4","3","14","1","0",".226",".288",".337",".625",".275","19968"
"Cole Tucker","PIT","16","66","59","13","3","0","1","7","5","5","15","1","0",".224",".290",".334",".624",".275","17326"
"Kelvin Gutierrez","BAL","4","16","14","3","1","0","0","2","1","1","4","0","0",".230",".285",".339",".625",".275","17468"
"Cam Gallagher","KCR","11","45","40","9","2","0","1","4","4","3","9","0","0",".227",".288",".337",".625",".275","12981"
"Jeffrey Bleday","MIA","1","3","3","1","0","0","0","0","0","0","1","0","0",".211",".283",".342",".625",".275","sa3011642"
"Leody Taveras","TEX","18","77","69","15","3","0","2","8","6","6","23","2","1",".217",".282",".347",".629",".274","18900"
"Jacob Wilson","OAK","4","18","16","3","1","0","0","2","2","1","4","0","0",".204",".278",".345",".623",".274","13254"
"Robel Garcia","HOU","13","57","51","10","2","0","2","6","6","5","21","0","0",".193",".269",".357",".627",".274","13167"
"Lewis Brinson","MIA","14","59","55","12","2","0","2","6","6","3","18","1","0",".216",".270",".358",".629",".274","14352"
"Reese McGuire","TOR","22","88","80","18","4","0","2","9","8","6","19","1","0",".224",".284",".337",".621",".273","15674"
"Beau Taylor","CIN","1","2","2","0","0","0","0","0","0","0","1","0","0",".201",".295",".313",".607",".273","12384"
"Johneshwy Fargas","CHC","1","5","5","1","0","0","0","1","0","0","1","0","0",".222",".282",".336",".618",".272","16446"
"Ali Sanchez","STL","1","5","5","1","0","0","0","0","0","0","1","0","0",".238",".285",".336",".621",".272","18551"
"Webster Rivas","SDP","2","9","8","2","0","0","0","1","1","1","2","0","0",".223",".285",".334",".618",".272","14636"
"Anthony Bemboom","LAA","2","10","9","2","0","0","0","1","1","1","3","0","0",".208",".276",".342",".618",".271","13854"
"Sam Haggerty","SEA","5","21","19","4","1","0","0","2","2","2","6","1","0",".206",".284",".327",".611",".271","18054"
"Garrett Stubbs","HOU","3","12","11","2","1","0","0","1","1","1","2","0","0",".216",".290",".319",".609",".271","18067"
"Meibrys Viloria","KCR","1","5","4","1","0","0","0","0","0","0","1","0","0",".217",".286",".323",".609",".270","17109"
"Rob Brantly","NYY","2","7","6","1","0","0","0","1","1","0","1","0","0",".217",".283",".332",".615",".270","10655"
"Ronald Torreyes","PHI","12","55","51","12","2","0","1","5","5","3","8","0","0",".240",".280",".335",".615",".269","11400"
"Ildemaro Vargas","ARI","1","3","3","1","0","0","0","0","0","0","0","0","0",".239",".282",".333",".614",".269","13324"
"Tomas Nido","NYM","17","68","63","14","3","0","2","6","7","3","17","0","0",".224",".267",".352",".620",".268","13755"
"Sebastian Rivero","KCR","3","10","9","2","0","0","0","1","1","1","3","0","0",".223",".274",".340",".614",".268","21735"
"Harold Castro","DET","24","98","91","22","3","0","1","9","8","5","21","1","0",".245",".289",".318",".608",".268","14691"
"Jorge Mateo","SDP","3","13","13","3","1","0","0","2","1","1","4","0","0",".218",".263",".357",".620",".268","17273"
"Austin Hedges","CLE","25","97","88","18","3","0","4","9","11","6","30","0","0",".198",".259",".359",".618",".268","12976"
"Luis Barrera","OAK","1","5","5","1","0","0","0","1","0","0","1","0","0",".225",".281",".326",".607",".267","19615"
"Mike Freeman","CIN","4","19","17","4","1","0","0","2","2","2","5","0","0",".216",".289",".310",".599",".267","11241"
"Scott Hurst","STL","1","3","3","1","0","0","0","0","0","0","1","0","0",".213",".283",".315",".598",".266","20501"
"Richie Martin Jr.","BAL","3","11","10","2","0","0","0","1","1","1","3","0","0",".217",".280",".318",".598",".265","17736"
"Seby Zavala","CHW","10","41","37","7","2","0","1","4","4","3","16","0","0",".194",".261",".343",".604",".265","18887"
"Jose Godoy","SEA","1","5","4","1","0","0","0","0","0","0","1","0","0",".215",".284",".311",".595",".265","15808"
"Tyler Wade","NYY","6","25","22","5","1","0","0","3","2","2","7","1","0",".214",".282",".314",".596",".265","15730"
"Alex De Goti","","1","3","3","1","0","0","0","0","0","0","1","0","0",".212",".275",".321",".596",".264","19477"
"Grayson Greiner","DET","25","94","86","17","3","0","3","9","9","6","33","0","0",".200",".260",".340",".600",".263","17062"
"Skye Bolt","OAK","3","13","12","2","1","0","0","1","1","1","4","0","0",".199",".271",".324",".595",".263","17723"
"Chad Wallach","MIA","2","7","6","1","0","0","0","1","1","1","2","0","0",".196",".272",".317",".589",".263","17161"
"Marco Hernandez","CHW","2","8","8","2","0","0","0","1","1","0","2","0","0",".232",".272",".329",".601",".262","13154"
"Aramis Garcia","OAK","17","69","63","13","2","0","2","6","7","4","23","0","0",".201",".256",".341",".596",".261","16925"
"Dillon Thomas","SEA","2","8","7","1","0","0","0","1","1","1","3","0","0",".199",".271",".315",".586",".261","12719"
"Magneuris Sierra","MIA","11","46","42","10","2","0","0","4","3","3","10","2","0",".236",".284",".309",".593",".261","17023"
"Billy Hamilton","CHW","8","34","31","7","1","0","0","4","2","3","9","2","0",".217",".277",".310",".587",".260","10199"
"Jarrod Dyson","KCR","15","64","58","13","2","1","0","7","4","5","13","3","1",".220",".284",".297",".580",".259","4866"
"Nick Heath","ARI","1","3","3","1","0","0","0","0","0","0","1","0","0",".205",".275",".303",".578",".257","19577"
"Luke Maile","MIL","3","12","11","2","0","0","0","1","1","1","4","0","0",".198",".270",".309",".579",".257","13355"
"Monte Harrison","MIA","2","11","10","2","0","0","0","1","1","1","4","0","0",".199",".261",".319",".580",".257","17216"
"Sandy Leon","MIA","22","85","77","15","3","0","2","7","8","6","23","0","0",".196",".263",".315",".578",".256","5273"
"Anderson Tejeda","TEX","4","17","16","3","1","0","1","2","2","1","7","0","0",".191",".249",".337",".586",".256","19909"
"Jake Hager","SEA","1","3","3","1","0","0","0","0","0","0","1","0","0",".203",".256",".326",".582",".255","12198"
"Michael Reed","OAK","1","3","3","1","0","0","0","0","0","0","1","0","0",".195",".259",".323",".581",".255","sa738683"
"Jose Trevino","TEX","29","110","103","23","4","0","2","9","10","5","23","0","0",".219",".254",".327",".581",".253","16725"
"Deven Marrero","MIA","1","5","4","1","0","0","0","0","0","0","1","0","0",".203",".257",".305",".562",".248","13325"
"Joseph Odom","TBR","1","5","5","1","0","0","0","0","0","0","2","0","0",".192",".252",".297",".549",".244","15535"
